TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
VN30,3/21/12,0.50563,0.51387,0.50476,0.5068,34696070
VN30,3/22/12,0.50202,0.50978,0.50162,0.50554,24700500
VN30,3/23/12,0.50804,0.51459,0.50794,0.51284,26117150
VN30,3/26/12,0.51702,0.51809,0.50949,0.51727,28753200
VN30,3/27/12,0.51304,0.51322,0.50241,0.50241,33826440
VN30,3/28/12,0.49974,0.50533,0.49389,0.50454,20095550
VN30,3/29/12,0.50721,0.50759,0.49795,0.49848,23528960
VN30,3/30/12,0.50193,0.50336,0.49699,0.50007,19134730
VN30,4/3/12,0.49997,0.50673,0.49965,0.50577,16311770
VN30,4/4/12,0.50711,0.50778,0.49997,0.50028,15528440
VN30,4/5/12,0.49929,0.50826,0.49844,0.50735,22504320
VN30,4/6/12,0.51045,0.51513,0.50925,0.51151,29506930
VN30,4/9/12,0.51664,0.51775,0.5138,0.51564,22525740
VN30,4/10/12,0.51642,0.52279,0.51456,0.5174,27702170
VN30,4/11/12,0.52471,0.52763,0.51955,0.52763,31311990
VN30,4/12/12,0.53124,0.54093,0.53007,0.53728,35158140
VN30,4/13/12,0.54029,0.54068,0.5323,0.5323,39331780
VN30,4/16/12,0.53323,0.54236,0.53048,0.53917,28106250
VN30,4/17/12,0.54221,0.54698,0.53803,0.54413,32161550
VN30,4/18/12,0.54476,0.55152,0.54063,0.5416,37950780
VN30,4/19/12,0.53907,0.54243,0.5329,0.53368,29899980
VN30,4/20/12,0.53544,0.53982,0.52984,0.53374,21762350
VN30,4/23/12,0.53539,0.53898,0.5335,0.5336,16134950
VN30,4/24/12,0.53482,0.536,0.52869,0.53489,18822090
VN30,4/25/12,0.54169,0.54373,0.5384,0.54278,24328170
VN30,4/26/12,0.54253,0.54492,0.53806,0.5381,22637170
VN30,4/27/12,0.54177,0.54285,0.53819,0.5412,18517320
VN30,5/2/12,0.54413,0.54552,0.53751,0.53972,24514390
